datetime	wtr_0.25	wtr_1	wtr_2	wtr_2.5	wtr_3	wtr_4	wtr_5	wtr_6	wtr_6.5
2023-10-01	NA	NA	6.04833333333333	5.7320625	6.04333333333333	5.76083854166667	5.92	5.97166666666667	5.65706944444444
2023-10-02	NA	NA	5.97	5.6415625	5.97958333333333	5.70440104166667	5.88354166666667	5.92916666666667	5.61898611111111
2023-10-03	NA	NA	4.94270833333333	4.599	4.963125	4.69799479166667	4.9125	4.97166666666667	4.662
2023-10-04	NA	NA	3.98833333333333	3.63733333333333	3.98979166666667	3.71759895833333	3.90958333333333	3.97645833333333	3.67113194444444
2023-10-05	NA	NA	3.66791666666667	3.31110416666667	3.63666666666667	3.37384375	3.55958333333333	3.62416666666667	3.32049305555556
2023-10-06	NA	NA	3.74604166666667	3.38525	3.71333333333333	3.44489583333333	3.62958333333333	3.69125	3.38685416666667
2023-10-07	NA	NA	3.88729166666667	3.53041666666667	3.84625	3.58840625	3.77583333333333	3.84291666666667	3.53733333333333
2023-10-08	NA	NA	4.06083333333333	3.70245833333333	4.01791666666667	3.74847395833333	3.928125	3.98708333333333	3.68347916666667
2023-10-09	NA	NA	4.18229166666667	3.82735416666667	4.139375	3.86521354166667	4.03666666666667	4.09791666666667	3.79190277777778
2023-10-10	NA	NA	4.19729166666667	3.85027083333333	4.170625	3.90300520833333	4.09583333333333	4.15333333333333	3.84652777777778
2023-10-11	NA	NA	3.90604166666667	3.58133333333333	3.929375	3.65618229166667	3.844375	3.90895833333333	3.60597222222222
2023-10-12	NA	NA	2.876875	2.5469375	2.91083333333333	2.6565	2.85729166666667	2.9325	2.62828472222222
2023-10-13	NA	NA	1.968125	1.604625	1.93541666666667	1.687890625	1.89291666666667	1.96770833333333	1.67800694444444
2023-10-14	NA	NA	1.45104166666667	1.1208125	1.453125	1.193984375	1.38270833333333	1.441875	1.15184027777778
2023-10-15	NA	NA	1.248125	0.90925	1.20520833333333	0.964864583333333	1.155625	1.21604166666667	0.936805555555556
2023-10-16	NA	NA	1.56833333333333	1.2460625	1.535625	1.282203125	1.45395833333333	1.52041666666667	1.23404166666667
2023-10-17	NA	NA	2.01229166666667	1.66204166666667	1.96104166666667	1.71008854166667	1.891875	1.95229166666667	1.6579375
2023-10-18	NA	NA	1.94166666666667	1.62683333333333	1.93604166666667	1.68521354166667	1.87270833333333	1.928125	1.63638194444444
2023-10-19	NA	NA	2.10291666666667	1.75797916666667	2.05854166666667	1.80861979166667	1.999375	2.050625	1.757875
2023-10-20	NA	NA	2.249375	1.8970625	2.20354166666667	1.95602604166667	2.14541666666667	2.2125	1.91826388888889
2023-10-21	NA	NA	2.35395833333333	2.04395833333333	2.34479166666667	2.10252604166667	2.299375	2.39729166666667	2.11084722222222
2023-10-22	NA	NA	2.54270833333333	2.21697916666667	2.539375	2.296125	2.50083333333333	2.60145833333333	2.32910416666667
2023-10-23	NA	NA	2.64416666666667	2.31933333333333	2.63229166666667	2.40283333333333	2.61875	2.705	2.42886111111111
2023-10-24	NA	NA	2.693125	2.36204166666667	2.67583333333333	2.421984375	2.60333333333333	2.66708333333333	2.37058333333333
2023-10-25	NA	NA	2.565625	2.21777083333333	2.53666666666667	2.29075	2.48729166666667	2.57916666666667	2.28343055555556
2023-10-26	NA	NA	2.11770833333333	1.78166666666667	2.110625	1.856953125	2.0575	2.10895833333333	1.81434027777778
2023-10-27	NA	NA	1.23791666666667	0.954229166666667	1.25541666666667	1.01775	1.21333333333333	1.27229166666667	0.983118055555556
2023-10-28	NA	NA	0.77625	0.517708333333333	0.797708333333333	0.590364583333333	0.784166666666667	0.9175	0.704055555555556
2023-10-29	NA	NA	0.821458333333333	0.589895833333333	0.855833333333333	0.662385416666667	0.894791666666667	1.125625	0.977611111111111
2023-10-30	NA	NA	0.939791666666667	0.688520833333333	0.970208333333333	0.772572916666667	1.06291666666667	1.34083333333333	1.20965277777778
2023-10-31	NA	NA	1.07395833333333	0.812125	1.08333333333333	0.894598958333333	1.21958333333333	1.52041666666667	1.40843055555556
2023-11-01	NA	NA	1.17583333333333	0.921208333333333	1.194375	1.00550520833333	1.34229166666667	1.66375	1.54803472222222
2023-11-02	NA	NA	1.24541666666667	0.99225	1.26041666666667	1.09416145833333	1.45770833333333	1.775625	1.6675
